iter	Passed	Remaining
404	7089	10416
405	7106	10396
406	7123	10379
407	7139	10358
408	7155	10339
409	7171	10320
410	7189	10302
411	7204	10282
412	7222	10265
413	7241	10249
414	7258	10231
415	7275	10214
416	7295	10199
417	7312	10181
418	7329	10163
419	7347	10146
420	7363	10126
421	7378	10106
422	7395	10087
423	7408	10063
424	7425	10045
425	7441	10026
426	7456	10005
427	7473	9987
428	7490	9970
429	7505	9948
430	7522	9931
431	7538	9912
432	7556	9894
433	7575	9879
434	7589	9857
435	7607	9840
436	7624	9823
437	7643	9807
438	7662	9792
439	7679	9774
440	7695	9755
441	7712	9736
442	7729	9718
443	7744	9697
444	7760	9678
445	7776	9660
446	7792	9640
447	7810	9623
448	7828	9606
449	7844	9587
450	7861	9570
451	7877	9551
452	7896	9535
453	7912	9516
454	7928	9496
455	7944	9477
456	7963	9461
457	7981	9445
458	7998	9427
459	8016	9410
460	8031	9390
461	8048	9372
462	8067	9356
463	8083	9337
464	8100	9319
465	8115	9300
466	8133	9282
467	8149	9263
468	8168	9248
469	8183	9228
470	8200	9209
471	8215	9189
472	8231	9171
473	8248	9153
474	8265	9135
475	8282	9118
476	8301	9101
477	8316	9082
478	8334	9065
479	8351	9047
480	8367	9028
481	8382	9008
482	8399	8990
483	8415	8971
484	8430	8952
485	8445	8932
486	8461	8913
487	8476	8893
488	8491	8873
489	8506	8853
490	8523	8835
491	8541	8818
492	8556	8799
493	8573	8781
494	8591	8765
495	8608	8747
496	8625	8729
497	8643	8712
498	8660	8695
499	8675	8675
500	8690	8655
501	8708	8639
502	8724	8620
503	8741	8602
504	8756	8583
505	8773	8565
506	8789	8546
507	8804	8526
508	8821	8509
509	8838	8491
510	8856	8475
511	8870	8455
512	8885	8435
513	8901	8416
514	8916	8397
515	8934	8380
516	8951	8363
517	8969	8346
518	8986	8328
519	9003	8311
520	9020	8293
521	9035	8274
522	9050	8254
523	9066	8235
524	9083	8218
525	9097	8198
526	9114	8181
527	9130	8162
528	9145	8142
529	9159	8122
530	9175	8104
531	9192	8086
532	9209	8068
533	9224	8049
534	9239	8030
535	9254	8011
536	9268	7991
537	9282	7971
538	9299	7953
539	9313	7933
540	9329	7915
541	9346	7897
542	9361	7878
543	9376	7859
544	9390	7839
545	9405	7820
